Model,MAE,MSE,RMSE,R²,Adjusted R²,CrossVal_R²
GradientBoosting,2537.6106753183417,18400119.89298155,4289.536092980399,0.8998666000904996,0.8994148704668476,0.8342036748003985
RandomForest,2683.6576999999993,22507789.768235303,4744.23753286398,0.8775126723602851,0.8769600979498804,0.8187466385437183
XGBoost,2906.6037415188466,25969907.572676197,5096.067854010207,0.85867183715583,0.8580342664963826,0.7899985104315956
ExtraTrees,3143.0757079602004,26833855.219700046,5180.140463317577,0.8539702365280368,0.8533114556401934,0.81424715291064
LinearRegression,4177.267596014923,35481471.59594917,5956.63257184369,0.806909932904842,0.8060388498953902,0.7257843200173502
RidgeCV,4178.961629480087,35499767.57342679,5958.168139069826,0.8068103662476596,0.8059388340653182,0.7257984688907245
LassoCV,4198.199793249393,35909786.63481486,5992.477503905614,0.8045790436865413,0.8036974453873829,0.7255791910572755
KNN,4494.8975447761195,65043912.23097703,8064.9806094606965,0.6460312153951138,0.6444343637352421,0.6408759060820909
ElasticNetCV,9444.716471474536,167246434.19231027,12932.379293552685,0.08984538275729248,0.085739422078002,0.09510789906796357
SVR,9261.829149664025,208256270.84714305,14431.086960002114,-0.1333300312000918,-0.13844279825813732,-0.10070698652065282
